CardholdeNDD,First Name,Last Name,Gender,ATMID,Birth Date,Occupation,AccountType,State Bank Of India
WD-006-1050,Ashimiyu,Obi,F,WD-006,01/13/1995,Trader,Savings,1
SD-001-1043,Ebuka,Nnaji,F,SD-001,05-06-1981,Data Analyst,Savings,1
CD-006-1029,Azeez,Odeyemi,F,CD-006,02/28/1986,Trader,Current,1
ED-002-1217,Hafsatu,Zainab,F,ED-002,06/14/2003,Trader,Savings,1
SD-009-1079,Chukwuka,Ekwueme,M,SD-009,10-06-2003,Factory Worker,Savings,1
ND-005-1090,Chioma,Nwachukwu,F,ND-005,03/19/1991,Human Resources Specialist,Current,1
CD-004-1008,Adebimpe,Adebayo,F,CD-004,01/15/1987,Lawyer,Savings,1
WD-003-1120,Iretiola,Nwosu,F,WD-003,12-09-1995,Lawyer,Savings,1
ED-002-1198,Nafisa,Aisha,F,ED-002,11-05-1990,Lawyer,Current,1
ND-003-1022,Chidinma,Pepple,M,ND-003,11-07-1996,Software Developer,Savings,1
CD-002-1007,Nneka,Nwachukwu,F,CD-002,05-04-2000,Health Professional,Savings,1
SD-007-1065,Chinelo,Uzor,F,SD-007,08/17/1992,Manager,Current,0
SD-008-1073,Ifeanyi,Okereke,F,SD-008,05-11-1986,Data Analyst,Savings,1
WD-002-1143,Ekele,Adekunle,M,WD-002,12-07-1990,Farmer,Current,1
CD-006-1027,Oluwasegun,Adeyemo,M,CD-006,07/21/1996,Electrician,Current,1
WD-014-1126,Adetokunbo,Onwuka,F,WD-014,10/19/1993,Manager,Current,1
WD-012-1074,Amina,Nkechi,F,WD-012,07-08-2001,Data Analyst,Savings,1
ND-010-1081,Vincent,Amaechi,M,ND-010,04/24/1995,Welder,Current,1
SD-003-1066,Chukwuemeka,Okorie,M,SD-003,08/20/2001,Accountant,Current,1
SD-003-1072,Kelechi,Okafor,M,SD-003,09/29/1988,Trader,Current,1
CD-006-1011,Ahmed,Firdausi,M,CD-006,12/19/1997,Electrician,Savings,1
WD-009-1064,Chinedu,Balogun,F,WD-009,09/30/1989,Data Analyst,Current,1
CD-004-1030,Angela,Oluwatosin,F,CD-004,08-12-1990,Trader,Current,1
CD-005-1041,Christiana,Afolabi,M,CD-005,10-07-1997,Electrician,Current,0
SD-009-1057,Ugochukwu,Chukwu,F,SD-009,12/21/1998,Health Professional,Current,1
ED-008-1163,Bashir,Shehu,F,ED-008,06-12-1980,Human Resources Specialist,Current,0
SD-008-1059,Nneka,Nwankwo,F,SD-008,11-08-2001,Health Professional,Savings,1
CD-006-1030,Oluwagbemiga,Oluwatomi,F,CD-006,09/13/2000,Trader,Current,1
CD-005-1030,Daniel,Okoro,M,CD-005,08/28/1992,Engineer,Savings,1
ND-008-1038,Chidimma,Eke,F,ND-008,05-06-1987,Trader,Savings,1
CD-002-1006,Musa,Ibrahim,M,CD-002,07/22/1996,Electrician,Savings,1
CD-004-1027,Rukayya,Maryam,M,CD-004,03-05-1980,Plumber,Current,1
SD-006-1094,Chinedu,Okolie,F,SD-006,01-09-1980,Accountant,Current,1
CD-002-1038,Oluwadamilola,Uzoma,M,CD-002,06-07-1985,Human Resources Specialist,Current,1
ED-008-1182,Salisu,Nasiru,M,ED-008,08/25/2006,Student,Savings,1
SD-009-1045,Obumneme,Okereke,F,SD-009,09/19/1986,Data Analyst,Savings,1
ND-005-1019,Anthony,Wobo,M,ND-005,11/15/1988,Farmer,Savings,1
CD-005-1011,Ruqayya,Fati,F,CD-005,04-09-2003,Trader,Current,1
CD-002-1021,Usman,Abdulsalam,M,CD-002,03/28/1987,Welder,Current,1
SD-001-1052,Chidimma,Nwosu,M,SD-001,08/31/1999,Truck Driver,Current,0
ED-003-1102,Ismaila,Danjuma,M,ED-003,06-06-2000,Trader,Current,1
ED-006-1060,Hassan,Bello,F,ED-006,01-02-1988,Lawyer,Savings,1
ND-008-1027,John,Akobo,M,ND-008,02/26/1988,Human Resources Specialist,Current,1
ED-004-1012,Halima,Ahmed,F,ED-004,07/19/1997,Health Professional,Current,1
CD-005-1039,Akinbode,Onyekachi,F,CD-005,05/18/1988,Trader,Savings,0
CD-005-1043,Christopher,Adebayo,F,CD-005,08-10-1999,Student,Savings,1
SD-006-1008,Chukwuma,Ugochukwu,M,SD-006,11/28/2003,Mechanic,Savings,1
CD-002-1015,Ifeanyi,Obi,M,CD-002,07/23/2001,Student,Savings,0
CD-002-1024,Bello,Maryam,M,CD-002,06/15/1989,Software Developer,Savings,1
CD-005-1005,Babatunde,Adekoya,M,CD-005,03/17/1990,Mechanic,Savings,1
CD-005-1016,Abdullahi,Tijjani,M,CD-005,05/14/1995,Electrician,Current,0
CD-006-1024,Chukwuemeka,Aikhomu,F,CD-006,12/29/1988,Marketing Executive,Savings,1
WD-001-1194,Oluwapelumi,Omolara,M,WD-001,11/21/1994,Mechanic,Savings,1
WD-004-1091,Daniel,Alao,M,WD-004,08/29/2003,Health Professional,Current,1
SD-009-1023,Adaobi,Okezie,F,SD-009,06/20/1989,Manager,Savings,1
CD-003-1015,Shehu,Abdulsalam,F,CD-003,05-01-1993,Trader,Current,1
WD-005-1117,Camillus,Okoye,M,WD-005,10/23/1999,Health Professional,Savings,1
WD-015-1111,Oluwadamilola,Rasaq,M,WD-015,03/14/1995,Construction Worker,Current,1
ED-002-1052,Khadija,Garba,F,ED-002,05/22/1986,Accountant,Current,1
ND-004-1016,Kenneth,Briggs,M,ND-004,02/23/1986,Lawyer,Savings,1
ED-007-1162,Habiba,Amina,M,ED-007,05/25/2008,Student,Savings,1
SD-007-1017,Ikechukwu,Nwabueze,M,SD-007,06-03-1978,Factory Worker,Savings,1
ED-010-1188,Aisha,Sadiq,F,ED-010,12/31/1999,Human Resources Specialist,Savings,1
WD-010-1013,Akindele,Akinola,M,WD-010,02-06-1992,Factory Worker,Savings,1
CD-006-1021,Abdulaziz,Amina,F,CD-006,02/15/1981,Health Professional,Savings,1
WD-006-1244,Ekanem,Egbeyemi,M,WD-006,10-02-1981,Human Resources Specialist,Current,1
SD-006-1055,Amaka,Nwankwo,F,SD-006,02-08-1999,Trader,Current,1
SD-009-1051,Onyinye,Amaechi,F,SD-009,07/30/1993,Lawyer,Current,1
CD-002-1012,Ifeoma,Eze,F,CD-002,10/14/1985,Lawyer,Savings,1
CD-005-1012,Nafisa,Khadija,F,CD-005,08/19/1999,Engineer,Current,1
WD-015-1258,Oluwatobiloba,Odumosu,F,WD-015,10-08-1990,Lawyer,Savings,1
WD-007-1276,Comfort,Eze,M,WD-007,12/15/2005,Student,Savings,0
WD-014-1074,Rukayat,Adebayo,F,WD-014,04-02-2002,Student,Savings,1
ED-005-1145,Zainab,Maryam,M,ED-005,06-03-1983,Lawyer,Savings,1
WD-005-1246,Dora,Ogundele,F,WD-005,03/25/2002,Trader,Savings,0
ND-001-1092,Gabriel,Wobo,F,ND-001,05/17/1993,Trader,Savings,0
WD-004-1092,Durotimi,Oladipo,F,WD-004,04-09-1993,Trader,Savings,1
SD-009-1091,Chiamaka,Okoye,F,SD-009,11/19/2007,Student,Savings,1
CD-006-1020,Danladi,Fadila,F,CD-006,12/14/1988,Engineer,Savings,1
CD-005-1004,Ngozi,Okonkwo,F,CD-005,05-07-2003,Student,Savings,1
WD-011-1248,Ekanem,Oluwakanyinsola,M,WD-011,11/15/1988,Marketing Executive,Savings,1
SD-001-1092,Ifeoma,Nwachukwu,F,SD-001,12-11-1988,Software Developer,Savings,1
ED-007-1202,Yusuf,Hauwa,M,ED-007,05-07-1991,Human Resources Specialist,Savings,1
CD-004-1036,Adeola,Oyebanji,M,CD-004,02-06-1998,Carpenter,Current,1
SD-008-1019,Chinyere,Ojukwu,F,SD-008,07/20/1998,Lawyer,Savings,1
WD-014-1241,Oluwadamilola,Okon,F,WD-014,05/28/1981,Trader,Savings,1
WD-015-1291,Ayodele,Oluwabukola,M,WD-015,10/20/1979,Welder,Savings,1
WD-011-1077,Chisom,Fajimi,F,WD-011,09/29/1990,Data Analyst,Savings,0
ED-004-1066,Suleiman,Garba,F,ED-004,08/23/1999,Trader,Current,1
ND-005-1101,Stanley,Ezeani,M,ND-005,09-10-1987,Factory Worker,Current,1
ED-001-1020,Aisha,Lawal,F,ED-001,08/14/1993,Marketing Executive,Current,1
ED-010-1122,Ibrahim,Danjuma,F,ED-010,12/15/1989,Marketing Executive,Savings,1
WD-015-1131,Nike,Alade,M,WD-015,09-07-2000,Human Resources Specialist,Savings,1
SD-006-1005,Chisom,Emezie,F,SD-006,05-03-1986,Human Resources Specialist,Savings,1
CD-006-1032,Gbenga,Okon,F,CD-006,03-02-1989,Lawyer,Savings,0
SD-004-1092,Ugochi,Okpara,M,SD-004,01-03-2007,Student,Savings,1
ND-004-1014,Isaac,Wobo,M,ND-004,07/16/1989,Engineer,Current,1
SD-004-1091,Ifunanya,Ojukwu,M,SD-004,12/20/1985,Data Analyst,Current,0
WD-009-1250,Adenike,Adeniyi,M,WD-009,02/20/1995,Carpenter,Current,1
CD-006-1022,Shehu,Rakiya,M,CD-006,12/28/1996,Mechanic,Savings,1
CD-006-1031,Oluwakemi,Okon,F,CD-006,11/17/1997,Lawyer,Current,1
ED-006-1193,Amina,Mariam,F,ED-006,10-06-2000,Marketing Executive,Current,1
ED-002-1183,Amina,Abdulkadir,M,ED-002,05-04-1979,Lawyer,Current,1
ED-004-1156,Salma,Bashir,F,ED-004,12-06-2001,Human Resources Specialist,Current,1
SD-009-1089,Chukwudi,Nwachukwu,M,SD-009,12-12-1990,Lawyer,Current,1
ND-007-1062,Ndidi,Briggs,M,ND-007,08/25/1987,Farmer,Current,1
ED-010-1128,Abdulkadir,Bello,F,ED-010,10/31/1989,Human Resources Specialist,Current,1
CD-006-1010,Aliyu,Firdausi,M,CD-006,08/24/1989,Truck Driver,Current,0
WD-001-1235,Cynthia,Dare,F,WD-001,02-08-1993,Engineer,Savings,1
ND-005-1095,Amadi,Brown,M,ND-005,05-04-1993,Software Developer,Current,0
ND-007-1082,Samuel,Okeke,M,ND-007,04/25/1997,Electrician,Current,1
SD-007-1087,Ifeanyi,Uche,M,SD-007,10-09-2000,Student,Savings,1
SD-008-1066,Ebuka,Chukwuma,F,SD-008,03/16/2002,Student,Savings,1
SD-005-1061,Chinonso,Madu,F,SD-005,08/28/1999,Manager,Savings,1
CD-006-1002,Olawale,Adegbite,M,CD-006,12/28/1993,Mechanic,Current,0
ND-002-1027,Chiamaka,Adeolu,F,ND-002,09/23/1991,Lawyer,Current,1
WD-013-1175,Adesola,Makinde,F,WD-013,04/21/1996,Manager,Current,1
WD-006-1181,Deji,Awosika,F,WD-006,09-01-1990,Lawyer,Savings,1
ND-001-1001,Blessing,Obi,F,ND-001,06-10-1999,Human Resources Specialist,Savings,1
ED-002-1055,Shehu,Ahmad,M,ED-002,02/17/2001,Farmer,Savings,1
WD-005-1231,Chidiebube,Oluwapemi,F,WD-005,02/26/1984,Health Professional,Savings,1
CD-003-1011,Shehu,Tijjani,M,CD-003,07-09-1997,Farmer,Savings,0
ED-009-1146,Zainab,Rabi,F,ED-009,01-05-1998,Human Resources Specialist,Savings,1
CD-005-1040,Pamela,Akinwande,M,CD-005,03-11-1987,Construction Worker,Current,1
ND-007-1038,Chiagozie,Ezeani,F,ND-007,11-01-1987,Lawyer,Current,0
ND-007-1102,Adaku,Nwosu,M,ND-007,12-02-1997,Human Resources Specialist,Current,1
ED-006-1022,Halima,Ibrahim,F,ED-006,09/29/1982,Health Professional,Current,1
SD-007-1093,Chikaodi,Amaechi,F,SD-007,06-07-1990,Trader,Savings,1
WD-011-1023,Daniella,Eze,F,WD-011,06/30/2002,Data Analyst,Savings,1
WD-011-1242,Chisom,Aluko,F,WD-011,12-03-1990,Trader,Savings,1
WD-012-1064,Chidimma,Adegbite,M,WD-012,06-05-1986,Mechanic,Savings,0
SD-009-1002,Ikenna,Nnamdi,M,SD-009,11-08-1992,Manager,Savings,1
CD-003-1028,Daniel,Akande,F,CD-003,04/22/1984,Engineer,Savings,1
CD-004-1025,Khadija,Sadiq,M,CD-004,03-04-1996,Farmer,Current,1
ED-004-1072,Rukayya,Hassan,F,ED-004,02/25/2003,Student,Savings,1
ND-005-1119,Mabel,Wike,M,ND-005,10-09-1986,Human Resources Specialist,Savings,1
ED-010-1049,Halima,Aliyu,M,ED-010,06-04-2009,Trader,Current,1
ED-005-1203,Hauwa,Maryam,M,ED-005,12-08-1991,Welder,Current,1
SD-007-1100,Ngozi,Obioha,M,SD-007,06/13/1993,Construction Worker,Savings,1
ND-006-1067,Chijioke,Nduka,M,ND-006,01/27/2000,Welder,Savings,1
SD-002-1050,Chibuzo,Nweke,M,SD-002,06/30/1995,Trader,Current,1
CD-004-1041,Qudus,Adeleke,M,CD-004,02/13/1995,Manager,Savings,0
ND-004-1068,Sunday,Nwachukwu,F,ND-004,04/16/1998,Human Resources Specialist,Savings,1
WD-008-1076,Damilola,Fajimi,M,WD-008,08/20/1994,Software Developer,Current,1
SD-008-1076,Nnamdi,Okoye,M,SD-008,02/23/1992,Engineer,Current,1
SD-006-1027,Ebuka,Uzochukwu,M,SD-006,12/31/1994,Welder,Savings,1
SD-009-1060,Uchenna,Amaechi,M,SD-009,11/30/1994,Data Analyst,Current,1
WD-013-1092,Nneka,Emeka,M,WD-013,01/16/1980,Manager,Savings,0
CD-005-1037,Niyi,Okafor,M,CD-005,10/18/1989,Electrician,Current,1
CD-005-1026,Abubakar,Mustapha,F,CD-005,05/14/1993,Health Professional,Savings,1
CD-006-1006,Oluwakemi,Adeleke,F,CD-006,04-06-1992,Health Professional,Current,1
CD-006-1023,Suleiman,Rukayya,M,CD-006,03-03-1985,Factory Worker,Savings,1
ND-003-1018,Ifeoma,Ibezim,F,ND-003,08/31/1978,Human Resources Specialist,Savings,1
SD-009-1092,Ogochukwu,Egbu,M,SD-009,02/22/1985,Electrician,Current,0
CD-005-1023,Abdulrahman,Fati,F,CD-005,05/31/2003,Health Professional,Current,1
ED-004-1063,Haruna,Musa,F,ED-004,04/20/1987,Human Resources Specialist,Savings,1
ED-008-1081,Sani,Umar,F,ED-008,07-11-1994,Accountant,Savings,1
SD-001-1102,Ikechukwu,Anya,M,SD-001,08-09-1986,Welder,Current,1
CD-002-1023,Rukayat,Zara,F,CD-002,04-07-1998,Health Professional,Savings,0
ND-007-1030,Josephine,Briggs,F,ND-007,09-12-1994,Health Professional,Savings,1
ED-009-1062,Bashir,Aliyu,M,ED-009,05-06-1997,Accountant,Savings,0
SD-001-1089,Chisom,Okoli,F,SD-001,09/15/1992,Trader,Current,1
CD-005-1035,Enitan,Ngozi,F,CD-005,11/23/1993,Marketing Executive,Current,1
ND-001-1051,Oluwaseyi,Olawale,F,ND-001,01-08-1983,Data Analyst,Savings,1
WD-015-1276,Chibueze,Oluwagbemiga,M,WD-015,05-04-2001,Student,Savings,0
SD-008-1063,Chiamaka,Ezeani,F,SD-008,01/28/1990,Data Analyst,Savings,1
ED-003-1177,Umar,Salma,F,ED-003,04/25/1995,Lawyer,Current,1
SD-008-1045,Emeka,Onyekwere,M,SD-008,11/22/1992,Mechanic,Savings,1
CD-005-1036,Omolabake,Mohammed,F,CD-005,12-01-1988,Engineer,Savings,1
CD-005-1002,Emeka,Nwosu,M,CD-005,10/29/1986,Electrician,Savings,1
ND-004-1094,Juliet,Nwachukwu,F,ND-004,09/26/1978,Accountant,Current,1
ED-010-1173,Rukayat,Musa,M,ED-010,09-01-1987,Health Professional,Current,1
ED-010-1097,Musa,Farouk,F,ED-010,02-06-1998,Accountant,Savings,1
WD-010-1118,Cornelius,Nwachukwu,M,WD-010,03-09-1987,Data Analyst,Current,1
SD-009-1012,Ugochukwu,Onwuka,M,SD-009,08-07-1993,Electrician,Savings,0
WD-011-1044,Nkele,Ayodele,M,WD-011,03-03-1986,Health Professional,Current,1
ED-002-1106,Fati,Yusuf,M,ED-002,01-05-1998,Engineer,Current,1
SD-009-1066,Uchenna,Okeke,F,SD-009,09-03-1997,Engineer,Current,1
CD-001-1042,Adebowale,Oluwatobiloba,M,CD-001,09/14/2002,Carpenter,Savings,1
ND-001-1017,Mary,Briggs,F,ND-001,01-04-1991,Software Developer,Current,1
ND-003-1027,Chinedu,Amadi,M,ND-003,10/24/1998,Engineer,Savings,1
WD-009-1007,Deji,Ogundele,M,WD-009,08-02-1985,Factory Worker,Current,1
ND-008-1098,Chisom,Adeyemo,F,ND-008,02/22/1996,Manager,Current,1
WD-013-1235,Adenike,Okafor,F,WD-013,11-01-1995,Manager,Current,1
SD-009-1082,Chizoba,Obasi,F,SD-009,11-12-1989,Data Analyst,Savings,1
SD-001-1007,Oluoma,Okezie,F,SD-001,03/22/1978,Accountant,Savings,1
ED-004-1187,Fadila,Amina,F,ED-004,11/21/1985,Health Professional,Current,0
WD-013-1211,Habiba,Okpara,M,WD-013,02/20/1993,Construction Worker,Current,1
ND-005-1031,Godwin,Wachukwu,M,ND-005,09-03-1986,Electrician,Current,1
CD-006-1004,Adebayo,Adeyemi,M,CD-006,12-01-1982,Health Professional,Savings,1
ED-010-1181,Abdulrahman,Nura,M,ED-010,06/24/1990,Plumber,Current,1
WD-012-1053,Olufemi,Ajayi,F,WD-012,06-12-1988,Engineer,Current,0
CD-002-1014,Obinna,Ezeanya,M,CD-002,10/18/2002,Farmer,Savings,1
WD-013-1032,Chisom,Adebisi,M,WD-013,10/25/1987,Farmer,Current,1
ED-002-1029,Rukayya,Usman,M,ED-002,03-05-1997,Mechanic,Savings,1
ND-009-1001,Chiamaka,Okoroafor,F,ND-009,11-02-1999,Health Professional,Savings,0
SD-007-1071,Ijeoma,Okeke,M,SD-007,04-01-1998,Data Analyst,Savings,1
CD-005-1007,Oluwaseun,Adewale,F,CD-005,03/15/1992,Health Professional,Savings,1
CD-005-1003,Oluwaseun,Ogunjobi,F,CD-005,11/16/1994,Human Resources Specialist,Current,0
ED-002-1007,Amina,Yusuf,F,ED-002,02-08-1995,Accountant,Savings,1
SD-009-1074,Nkechi,Nwachukwu,M,SD-009,06/20/1998,Plumber,Current,1
ED-008-1077,Fati,Ibrahim,F,ED-008,02/14/1994,Lawyer,Current,1
SD-005-1080,Ogechukwu,Ugwu,M,SD-005,09/13/1980,Plumber,Current,0
WD-011-1073,Aremu,Onyekachi,M,WD-011,08/21/1980,Mechanic,Current,1
ND-006-1007,Amadi,Akobo,M,ND-006,05/28/1998,Farmer,Current,1
WD-012-1208,Olumide,Oluwaseyi,M,WD-012,12-07-1992,Human Resources Specialist,Savings,1
ND-002-1091,Adaeze,Pepple,M,ND-002,02-07-1991,Carpenter,Savings,1
ND-002-1103,Mary,Okon,F,ND-002,02-10-1989,Software Developer,Savings,0
CD-001-1037,Oluwatimilehin,Igwe,F,CD-001,10/14/1996,Human Resources Specialist,Savings,1
CD-005-1020,Sadiya,Rukayat,M,CD-005,12/16/1993,Human Resources Specialist,Savings,1
ED-009-1159,Musa,Amina,F,ED-009,12/23/1985,Trader,Current,0
WD-002-1004,Anita,Okoye,F,WD-002,04/13/1989,Accountant,Savings,0
ED-008-1025,Maryam,Ibrahim,F,ED-008,08/17/1997,Human Resources Specialist,Current,0
SD-003-1070,Okechukwu,Onyebuchi,F,SD-003,10/31/1994,Marketing Executive,Savings,1
ED-010-1207,Fati,Sadiq,M,ED-010,07/30/1991,Welder,Savings,1
WD-006-1007,Boniface,Onyeka,M,WD-006,12/23/1979,Carpenter,Current,1
ND-002-1035,Collins,Eze,F,ND-002,12/20/1979,Engineer,Current,0
ED-005-1095,Umaru,Yusuf,M,ED-005,11-08-1987,Truck Driver,Current,1
ED-010-1193,Rakiya,Salisu,F,ED-010,01-03-1980,Human Resources Specialist,Current,1
WD-012-1175,Benjamin,Oladipo,M,WD-012,06-04-1981,Construction Worker,Current,1
CD-001-1041,Alice,Ayodele,F,CD-001,02/23/1988,Health Professional,Current,1
SD-005-1024,Chinaza,Onyia,F,SD-005,08-06-1998,Human Resources Specialist,Current,0
CD-003-1029,Daniel,Akinwale,F,CD-003,10-05-1999,Student,Savings,0
ND-010-1028,Ifeanyichukwu,Ugochukwu,M,ND-010,04/13/1983,Factory Worker,Current,1
ND-006-1004,Solomon,Pepple,M,ND-006,02-12-2003,Student,Savings,1
WD-009-1242,Ifeoluwa,Balogun,M,WD-009,04/26/1982,Lawyer,Savings,1
ND-002-1032,Emmanuel,Wike,F,ND-002,08/13/1984,Software Developer,Savings,1
SD-006-1088,Ngozi,Onyema,M,SD-006,08/14/2003,Student,Savings,1
ED-010-1148,Yakubu,Hauwa,F,ED-010,04/26/1990,Human Resources Specialist,Savings,1
CD-004-1043,Iretiola,Okeke,F,CD-004,04/29/1984,Lawyer,Current,1
ND-010-1079,Tari,Maple,F,ND-010,01-09-1996,Trader,Current,1
CD-006-1026,Bridget,Akinsanya,M,CD-006,09-06-1992,Construction Worker,Current,0
SD-004-1012,Ebuka,Ezeoke,M,SD-004,07/21/1982,Marketing Executive,Current,0
ND-008-1045,Sandra,Amadi,M,ND-008,04-12-1989,Marketing Executive,Current,1
SD-005-1004,Ifunanya,Uche,F,SD-005,05/16/1998,Marketing Executive,Current,0
CD-001-1031,Damilare,Okoli,F,CD-001,05/13/1991,Trader,Current,1
WD-002-1267,Chika,Aikhomu,F,WD-002,03-05-2001,Student,Savings,0
CD-001-1045,Kikelomo,Oguntade,F,CD-001,01/22/1991,Human Resources Specialist,Savings,1
SD-006-1020,Ebubechukwu,Ojukwu,M,SD-006,07-03-2002,Student,Savings,1
SD-005-1007,Obumneme,Ezeoke,M,SD-005,03/29/1985,Accountant,Current,1
SD-001-1002,Ngozi,Anya,F,SD-001,10-02-1993,Marketing Executive,Current,1
WD-009-1053,Alfred,Dosunmu,F,WD-009,12/16/1987,Manager,Current,0
WD-003-1288,Elizabeth,Okonkwo,F,WD-003,03/25/1990,Accountant,Current,1
ED-009-1167,Musa,Tijjani,F,ED-009,10-06-1995,Health Professional,Savings,0
SD-005-1079,Nnamdi,Eke,F,SD-005,12/15/1993,Marketing Executive,Current,0
WD-014-1033,Oluwatosin,Ige,F,WD-014,06-03-1981,Data Analyst,Current,1
CD-004-1026,Tijjani,Hauwa,M,CD-004,08/26/1996,Manager,Savings,0
CD-002-1011,Temitope,Adebayo,M,CD-002,11/16/1991,Software Developer,Savings,1
SD-009-1069,Obinna,Madu,F,SD-009,02-07-1986,Engineer,Savings,0
ND-005-1106,Emeka,Eze,F,ND-005,12-06-1994,Human Resources Specialist,Savings,1
ED-007-1096,Habiba,Ahmed,M,ED-007,03-10-1991,Farmer,Savings,1
WD-009-1134,Afolabi,Nnaji,F,WD-009,10-12-1987,Lawyer,Current,1
WD-012-1137,Ademiluyi,Balogun,F,WD-012,05/16/1996,Health Professional,Current,1
CD-002-1037,Adebisi,Davies,M,CD-002,05-09-1989,Plumber,Savings,1
CD-006-1018,Mariam,Nasiru,M,CD-006,08/25/1998,Farmer,Current,1
WD-006-1037,Bamidele,Eyo,F,WD-006,06-10-2003,Student,Savings,1
WD-015-1094,Babatunde,Okafor,M,WD-015,07/25/1998,Student,Savings,1
WD-015-1145,Ekanem,Gbadamosi,F,WD-015,09/14/1998,Accountant,Savings,0
ED-002-1126,Abubakar,Lawal,F,ED-002,03/28/1989,Health Professional,Current,1
ND-008-1065,Anayo,Amaechi,M,ND-008,12-06-1990,Health Professional,Current,1
ND-005-1114,Esther,Brown,M,ND-005,01/22/2003,Student,Savings,1
WD-007-1048,Ifeoluwa,Gbenga,M,WD-007,12/22/1987,Manager,Savings,1
WD-011-1079,Oluwatimilehin,Nkele,F,WD-011,08/20/1990,Manager,Current,1
ED-004-1207,Usman,Hauwa,F,ED-004,08-02-1995,Engineer,Savings,1
